SPONSOR_PAYMENT_ID,REG_NO,ACC_NO,PROGRAM,SPONSOR_NAME,SCHOLARSHIP_TYPE,ACADEMIC_YEAR,SEMESTER,SEMESTER_INDEX,AMOUNT_SPONSORED_UGX,DISBURSEMENT_DATE,SPONSOR_REFERENCE,STATUS
SP0000001,J23B06/001,A10001,Bachelor of Divinity,NGO Education Fund,MERIT_BASED_AID,2023/2024,SEM1,1,1087155,2023-01-10,UZQ1WKWJRC,APPROVED
SP0000002,J23B06/001,A10001,Bachelor of Divinity,NGO Education Fund,MERIT_BASED_AID,2023/2024,SEM2,2,1486154,2023-05-24,5Y494SWS8K,APPROVED
SP0000003,J23B06/001,A10001,Bachelor of Divinity,NGO Education Fund,MERIT_BASED_AID,2024/2025,SEM1,3,2244896,2024-02-09,SM536L6U63,APPROVED
SP0000004,J23B06/001,A10001,Bachelor of Divinity,NGO Education Fund,MERIT_BASED_AID,2024/2025,SEM2,4,1346295,2024-05-31,42SQKOU4RQ,APPROVED
SP0000005,J23B06/001,A10001,Bachelor of Divinity,NGO Education Fund,MERIT_BASED_AID,2025/2026,SEM1,5,2674539,2025-01-11,S0XVXOO4UJ,APPROVED
SP0000006,J23B06/001,A10001,Bachelor of Divinity,NGO Education Fund,MERIT_BASED_AID,2025/2026,SEM2,6,1803603,2025-06-12,TWL385IBMY,APPROVED
SP0000007,J23B06/005,A10055,Bachelor of Divinity,Private Sponsor,MERIT_BASED_AID,2023/2024,SEM1,1,1584299,2023-02-20,MQJF3SYBX8,APPROVED
SP0000008,J23B06/005,A10055,Bachelor of Divinity,Private Sponsor,MERIT_BASED_AID,2023/2024,SEM2,2,2580032,2023-06-13,XAIWW7AYZO,APPROVED
SP0000009,J23B06/005,A10055,Bachelor of Divinity,Private Sponsor,MERIT_BASED_AID,2024/2025,SEM1,3,942418,2024-02-22,YZCVXLZJ89,PENDING
SP0000010,J23B06/005,A10055,Bachelor of Divinity,Private Sponsor,MERIT_BASED_AID,2024/2025,SEM2,4,1864425,2024-05-23,UQD83FN51Z,APPROVED
SP0000011,J23B06/005,A10055,Bachelor of Divinity,Private Sponsor,MERIT_BASED_AID,2025/2026,SEM1,5,1377381,2025-03-01,5HMTZB87ZH,APPROVED
SP0000012,J23B06/005,A10055,Bachelor of Divinity,Private Sponsor,MERIT_BASED_AID,2025/2026,SEM2,6,1853327,2025-06-22,AQZ96Q51L3,APPROVED
SP0000013,J23B06/009,A10097,Bachelor of Divinity,Government Sponsorship,PARTIAL_SCHOLARSHIP,2023/2024,SEM1,1,741869,2023-02-04,MJ3ZF74AIQ,APPROVED
SP0000014,J23B06/009,A10097,Bachelor of Divinity,Government Sponsorship,PARTIAL_SCHOLARSHIP,2023/2024,SEM2,2,1422974,2023-05-16,WB1U7FCRRB,APPROVED
SP0000015,J23B06/009,A10097,Bachelor of Divinity,Government Sponsorship,PARTIAL_SCHOLARSHIP,2024/2025,SEM1,3,673600,2024-01-13,LRODUGYEDZ,PENDING
SP0000016,J23B06/009,A10097,Bachelor of Divinity,Government Sponsorship,PARTIAL_SCHOLARSHIP,2024/2025,SEM2,4,1966835,2024-06-13,CKEC2EGG5R,APPROVED
SP0000017,J23B06/009,A10097,Bachelor of Divinity,Government Sponsorship,PARTIAL_SCHOLARSHIP,2025/2026,SEM1,5,2251076,2025-01-10,UQVP1X8FJZ,APPROVED
SP0000018,J23B06/009,A10097,Bachelor of Divinity,Government Sponsorship,PARTIAL_SCHOLARSHIP,2025/2026,SEM2,6,1604801,2025-05-15,KLRD43MQAD,APPROVED
SP0000019,J23B06/009,A10097,Bachelor of Divinity,Government Sponsorship,PARTIAL_SCHOLARSHIP,2026/2027,SEM1,7,1622254,2026-01-19,X4HKP0H64M,APPROVED
SP0000020,J24B06/001,A10004,Bachelor of Divinity,Private Sponsor,TUITION_WAIVER,2024/2025,SEM1,1,1555396,2024-02-01,LZOEYC1NKD,APPROVED
SP0000021,J24B06/001,A10004,Bachelor of Divinity,Private Sponsor,TUITION_WAIVER,2024/2025,SEM2,2,2439239,2024-06-11,0JTD7BXJ3A,APPROVED
SP0000022,J24B06/001,A10004,Bachelor of Divinity,Private Sponsor,TUITION_WAIVER,2025/2026,SEM1,3,1228832,2025-01-15,P9Y3BHEZYJ,APPROVED
SP0000023,J24B06/001,A10004,Bachelor of Divinity,Private Sponsor,TUITION_WAIVER,2025/2026,SEM2,4,1140522,2025-05-23,NGSZ66JG6P,APPROVED
SP0000024,J24B06/003,A10014,Bachelor of Divinity,Corporate Scholarship,TUITION_WAIVER,2024/2025,SEM1,1,1492694,2024-02-07,BG5GP32KTJ,APPROVED
SP0000025,J24B06/003,A10014,Bachelor of Divinity,Corporate Scholarship,TUITION_WAIVER,2024/2025,SEM2,2,2166848,2024-06-27,9KGC6IT63X,APPROVED
SP0000026,J24B06/003,A10014,Bachelor of Divinity,Corporate Scholarship,TUITION_WAIVER,2025/2026,SEM1,3,3041576,2025-02-01,XKCVMFPEMS,APPROVED
SP0000027,J24B06/003,A10014,Bachelor of Divinity,Corporate Scholarship,TUITION_WAIVER,2025/2026,SEM2,4,2265280,2025-05-13,QRG7K7T2KQ,APPROVED
SP0000028,J24B06/003,A10014,Bachelor of Divinity,Corporate Scholarship,TUITION_WAIVER,2026/2027,SEM1,5,4107462,2026-01-31,JNR99TG7CO,APPROVED
SP0000029,J24B06/005,A10035,Bachelor of Divinity,Alumni Foundation,NEED_BASED_AID,2024/2025,SEM1,1,1913352,2024-01-23,Z2S6R5247R,APPROVED
SP0000030,J24B06/005,A10035,Bachelor of Divinity,Alumni Foundation,NEED_BASED_AID,2024/2025,SEM2,2,2990673,2024-05-14,TH9EHF17UQ,PENDING
SP0000031,J24B06/005,A10035,Bachelor of Divinity,Alumni Foundation,NEED_BASED_AID,2025/2026,SEM1,3,2323888,2025-02-10,WLT51SCUOE,APPROVED
SP0000032,J24B06/005,A10035,Bachelor of Divinity,Alumni Foundation,NEED_BASED_AID,2025/2026,SEM2,4,3935433,2025-06-28,2KUVH7XGHA,PENDING
SP0000033,J24B06/005,A10035,Bachelor of Divinity,Alumni Foundation,NEED_BASED_AID,2026/2027,SEM1,5,1179171,2026-01-17,1NQH4QL1ZP,APPROVED
SP0000034,J24B06/007,A10040,Bachelor of Divinity,Government Sponsorship,FULL_SCHOLARSHIP,2024/2025,SEM1,1,2157664,2024-02-09,8DD2C9ROYB,APPROVED
SP0000035,J24B06/007,A10040,Bachelor of Divinity,Government Sponsorship,FULL_SCHOLARSHIP,2024/2025,SEM2,2,2372797,2024-05-21,BH9MJIPK42,PENDING
SP0000036,J24B06/007,A10040,Bachelor of Divinity,Government Sponsorship,FULL_SCHOLARSHIP,2025/2026,SEM1,3,3253033,2025-02-28,QJ3SNY5CV1,APPROVED
SP0000037,J24B06/007,A10040,Bachelor of Divinity,Government Sponsorship,FULL_SCHOLARSHIP,2025/2026,SEM2,4,2911377,2025-06-26,TVLYS3CW6T,APPROVED
SP0000038,J24B06/007,A10040,Bachelor of Divinity,Government Sponsorship,FULL_SCHOLARSHIP,2026/2027,SEM1,5,1999841,2026-01-30,XS92WQIF36,PENDING
SP0000039,J24B06/009,A10046,Bachelor of Divinity,Church Education Fund,TUITION_WAIVER,2024/2025,SEM1,1,2473719,2024-02-18,6HYENW4END,APPROVED
SP0000040,J24B06/009,A10046,Bachelor of Divinity,Church Education Fund,TUITION_WAIVER,2024/2025,SEM2,2,1151336,2024-05-13,1RFEJLMGN3,APPROVED
SP0000041,J24B06/009,A10046,Bachelor of Divinity,Church Education Fund,TUITION_WAIVER,2025/2026,SEM1,3,1720622,2025-01-30,OAJMNXS35J,PENDING
SP0000042,J24B06/009,A10046,Bachelor of Divinity,Church Education Fund,TUITION_WAIVER,2025/2026,SEM2,4,2212950,2025-05-15,H0FRTA33P4,APPROVED
SP0000043,J24B06/009,A10046,Bachelor of Divinity,Church Education Fund,TUITION_WAIVER,2026/2027,SEM1,5,2540786,2026-01-25,94891GV2K8,PENDING
