REG_NO,ACC_NO,PROGRAM,ACADEMIC_YEAR,SEMESTER,SEMESTER_INDEX,CREDITS_ATTEMPTED,QUALITY_POINTS,COURSES_COUNT,PASSED_COURSES,FAILED_COURSES,FCW_COUNT,FEX_COUNT,MEX_COUNT,CREDITS_PASSED,CREDITS_FAILED,SEMESTER_GPA,CUM_CREDITS_ATTEMPTED,CUM_CREDITS_PASSED,CUM_QUALITY_POINTS,CGPA
J22B44/002,A10923,Bachelor of Science in Data Science and Analytics,2022/2023,SEM1,1,18,71.5,6,6,0,0,0,0,18.0,0.0,3.97,18,18.0,71.5,3.97
J22B44/002,A10923,Bachelor of Science in Data Science and Analytics,2022/2023,SEM2,2,22,71.5,7,7,0,0,0,0,22.0,0.0,3.25,40,40.0,143.0,3.58
J22B44/002,A10923,Bachelor of Science in Data Science and Analytics,2023/2024,SEM1,3,19,83.0,6,6,0,0,0,0,19.0,0.0,4.37,59,59.0,226.0,3.83
J22B44/002,A10923,Bachelor of Science in Data Science and Analytics,2023/2024,SEM2,4,20,68.5,7,6,1,0,1,0,17.0,3.0,3.42,79,76.0,294.5,3.73
J22B44/002,A10923,Bachelor of Science in Data Science and Analytics,2024/2025,SEM1,5,18,70.0,6,6,0,0,0,0,18.0,0.0,3.89,97,94.0,364.5,3.76
J22B44/002,A10923,Bachelor of Science in Data Science and Analytics,2024/2025,SEM2,6,21,78.0,7,6,1,0,1,0,18.0,3.0,3.71,118,112.0,442.5,3.75
J22B44/002,A10923,Bachelor of Science in Data Science and Analytics,2025/2026,SEM1,7,18,63.5,6,5,1,0,0,1,15.0,3.0,3.53,136,127.0,506.0,3.72
J22B44/002,A10923,Bachelor of Science in Data Science and Analytics,2025/2026,SEM2,8,21,73.0,7,6,1,0,0,1,19.0,2.0,3.48,157,146.0,579.0,3.69
J22B44/007,A10985,Bachelor of Science in Data Science and Analytics,2022/2023,SEM1,1,18,58.5,6,6,0,0,0,0,18.0,0.0,3.25,18,18.0,58.5,3.25
J22B44/007,A10985,Bachelor of Science in Data Science and Analytics,2022/2023,SEM2,2,22,74.0,7,6,1,0,0,1,18.0,4.0,3.36,40,36.0,132.5,3.31
J22B44/007,A10985,Bachelor of Science in Data Science and Analytics,2023/2024,SEM1,3,19,70.0,6,5,1,0,1,0,17.0,2.0,3.68,59,53.0,202.5,3.43
J22B44/007,A10985,Bachelor of Science in Data Science and Analytics,2023/2024,SEM2,4,20,58.5,7,5,2,0,1,1,13.0,7.0,2.92,79,66.0,261.0,3.3
J22B44/007,A10985,Bachelor of Science in Data Science and Analytics,2024/2025,SEM1,5,18,58.5,6,5,1,0,1,0,14.0,4.0,3.25,97,80.0,319.5,3.29
