REG_NO,ACC_NO,PROGRAM,HIGH_SCHOOL,DISTRICT,SCHOOL_TIER,OWNERSHIP
J23B06/002,A10006,Bachelor of Divinity,Arua Public Secondary School,Arua,Tier 2,Public/Mixed
J23B06/008,A10090,Bachelor of Divinity,Kyegegwa Secondary School,Kyegegwa,Tier 2,Public/Mixed
J23B06/010,A10109,Bachelor of Divinity,Soroti Secondary School,Soroti,Tier 2,Public/Mixed
J24B06/002,A10012,Bachelor of Divinity,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based
J24B06/004,A10018,Bachelor of Divinity,Rakai Secondary School,Rakai,Tier 2,Public/Mixed
J24B06/006,A10039,Bachelor of Divinity,Gulu High School,Gulu,Tier 2,Private/Faith-based
J24B06/008,A10041,Bachelor of Divinity,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based
J24B06/010,A10060,Bachelor of Divinity,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
J24B06/012,A10069,Bachelor of Divinity,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based
J24B06/014,A10079,Bachelor of Divinity,King's College Budo,Kampala,Tier 1,Private/Faith-based
J24B06/017,A10110,Bachelor of Divinity,Kibale Secondary School,Kibale,Tier 2,Public/Mixed
J25B06/001,A10005,Bachelor of Divinity,Muni Girls School,Arua,Tier 2,Private/Faith-based
J25B06/003,A10036,Bachelor of Divinity,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based
J25B06/006,A10051,Bachelor of Divinity,Gomba Secondary School,Gomba,Tier 2,Public/Mixed
J25B06/008,A10064,Bachelor of Divinity,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
J25B06/010,A10088,Bachelor of Divinity,Kumi Secondary School,Kumi,Tier 2,Public/Mixed
J25B06/012,A10116,Bachelor of Divinity,Tororo Girls School,Tororo,Tier 2,Private/Faith-based
KJ23B06/004,A10032,Bachelor of Divinity,St. Mary's College Kisubi,Kampala,Tier 1,Private/Faith-based
KJ23B06/007,A10089,Bachelor of Divinity,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based
KJ25B06/005,A10043,Bachelor of Divinity,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
